section,kernel,variant,n,rows,k,weight_bytes,ms,rows_per_s,eff_gbps,rel_l2,cos,load
gemm,expert.gateup,tiled M4,16,2304,5120,12533760,1.0088,15859.8,198.78,0.000e+00,1.000000000,"shared machine: other tracks' GPU tests may run; cpu: python oracle of another track"
gemm,expert.gateup,tiled M8,16,2304,5120,12533760,0.6388,25045.4,313.91,0.000e+00,1.000000000,"shared machine: other tracks' GPU tests may run; cpu: python oracle of another track"
gemm,expert.gateup,tiled M16,16,2304,5120,12533760,0.6678,23960.7,300.32,0.000e+00,1.000000000,"shared machine: other tracks' GPU tests may run; cpu: python oracle of another track"
gemm,expert.w1,tiled M4,16,2304,5120,6266880,0.4641,34476.8,216.06,4.427e-08,1.000000000,"shared machine: other tracks' GPU tests may run; cpu: python oracle of another track"
gemm,expert.w1,tiled M8,16,2304,5120,6266880,0.5076,31523.4,197.55,4.427e-08,1.000000000,"shared machine: other tracks' GPU tests may run; cpu: python oracle of another track"
gemm,expert.w1,tiled M16,16,2304,5120,6266880,1.3799,11595.2,72.67,4.427e-08,1.000000000,"shared machine: other tracks' GPU tests may run; cpu: python oracle of another track"
gemm,wq_b,tiled M4,16,32768,1280,41984000,2.1638,7394.3,310.44,5.453e-08,1.000000000,"shared machine: other tracks' GPU tests may run; cpu: python oracle of another track"
gemm,wq_b,tiled M8,16,32768,1280,41984000,1.2943,12362.1,519.01,5.453e-08,1.000000000,"shared machine: other tracks' GPU tests may run; cpu: python oracle of another track"
gemm,wq_b,tiled M16,16,32768,1280,41984000,2.8803,5555.0,233.22,5.453e-08,1.000000000,"shared machine: other tracks' GPU tests may run; cpu: python oracle of another track"
gemm,expert.w1,coopmat wave gemm,16,2304,5120,6266880,5.8501,2735.0,17.14,6.150e-08,1.000000000,"shared machine: other tracks' GPU tests may run; cpu: python oracle of another track"
gemm,expert.w1,coopmat wave +decode+x,16,2304,5120,6266880,5.9607,2684.3,16.82,6.150e-08,1.000000000,"shared machine: other tracks' GPU tests may run; cpu: python oracle of another track"
gemm,expert.w1,coopmat rowtile gemm,16,2304,5120,6266880,0.0664,241109.1,1511.00,6.150e-08,1.000000000,"shared machine: other tracks' GPU tests may run; cpu: python oracle of another track"
gemm,expert.w1,coopmat rowtile +decode+x,16,2304,5120,6266880,0.1749,91491.3,573.37,6.150e-08,1.000000000,"shared machine: other tracks' GPU tests may run; cpu: python oracle of another track"
